[2024-07-17 22:00:34,743][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:37 
[2024-07-17 22:00:36,607][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 037 loss 0.6740 accuracy 65.62
[2024-07-17 22:01:17,445][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:38 
[2024-07-17 22:01:19,443][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 038 loss 0.6725 accuracy 67.19
[2024-07-17 22:01:19,444][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:39 
[2024-07-17 22:01:21,378][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 039 loss 0.7082 accuracy 45.31
[2024-07-17 22:01:21,379][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:40 
[2024-07-17 22:01:23,312][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 040 loss 0.6981 accuracy 54.69
[2024-07-17 22:01:23,315][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:41 
[2024-07-17 22:01:25,257][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 041 loss 0.6770 accuracy 62.50
[2024-07-17 22:01:25,941][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:42 
[2024-07-17 22:01:27,895][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 042 loss 0.6941 accuracy 50.00
[2024-07-17 22:01:27,896][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:43 
[2024-07-17 22:01:29,834][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 043 loss 0.6803 accuracy 57.81
[2024-07-17 22:01:29,834][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:44 
[2024-07-17 22:01:31,743][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 044 loss 0.6967 accuracy 57.81
[2024-07-17 22:01:31,744][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:45 
[2024-07-17 22:01:33,605][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 045 loss 0.6841 accuracy 51.56
[2024-07-17 22:01:33,782][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:46 
[2024-07-17 22:01:35,644][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 046 loss 0.6967 accuracy 50.00
[2024-07-17 22:01:35,645][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:47 
[2024-07-17 22:01:37,506][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 047 loss 0.6849 accuracy 54.69
[2024-07-17 22:01:37,509][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:48 
[2024-07-17 22:01:39,367][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 048 loss 0.6822 accuracy 54.69
[2024-07-17 22:01:39,367][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:49 
[2024-07-17 22:01:41,241][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 049 loss 0.6614 accuracy 64.06
[2024-07-17 22:01:41,661][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:50 
[2024-07-17 22:01:43,516][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 050 loss 0.6681 accuracy 60.94
[2024-07-17 22:01:43,517][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:51 
[2024-07-17 22:01:45,372][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 051 loss 0.6929 accuracy 60.94
[2024-07-17 22:01:50,856][src.cue_accumulation.train_cue_accumulation][INFO] - eval  epoch 051 loss 0.6650 accuracy 59.38
[2024-07-17 22:01:51,108][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:52 
[2024-07-17 22:01:52,963][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 052 loss 0.6650 accuracy 62.50
[2024-07-17 22:01:52,964][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:53 
[2024-07-17 22:01:54,839][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 053 loss 0.6625 accuracy 67.19
[2024-07-17 22:01:54,839][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:54 
[2024-07-17 22:01:56,698][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 054 loss 0.6693 accuracy 59.38
[2024-07-17 22:01:56,699][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:55 
[2024-07-17 22:01:58,557][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 055 loss 0.6477 accuracy 65.62
[2024-07-17 22:01:59,020][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:56 
[2024-07-17 22:02:00,882][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 056 loss 0.6612 accuracy 59.38
[2024-07-17 22:02:00,883][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:57 
[2024-07-17 22:02:02,814][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 057 loss 0.6579 accuracy 67.19
[2024-07-17 22:02:02,815][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:58 
[2024-07-17 22:02:04,746][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 058 loss 0.7093 accuracy 56.25
[2024-07-17 22:02:04,748][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:59 
[2024-07-17 22:02:06,680][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 059 loss 0.6671 accuracy 59.38
[2024-07-17 22:02:07,305][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:60 
[2024-07-17 22:02:09,252][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 060 loss 0.6576 accuracy 64.06
[2024-07-17 22:02:09,253][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:61 
[2024-07-17 22:02:11,182][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 061 loss 0.6473 accuracy 60.94
[2024-07-17 22:02:11,182][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:62 
[2024-07-17 22:02:13,108][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 062 loss 0.6172 accuracy 65.62
[2024-07-17 22:02:13,109][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:63 
[2024-07-17 22:02:15,033][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 063 loss 0.6485 accuracy 73.44
[2024-07-17 22:02:15,293][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:64 
[2024-07-17 22:02:17,221][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 064 loss 0.6805 accuracy 48.44
[2024-07-17 22:02:17,222][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:65 
[2024-07-17 22:02:19,144][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 065 loss 0.6237 accuracy 70.31
[2024-07-17 22:02:19,146][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:66 
[2024-07-17 22:02:21,078][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 066 loss 0.5952 accuracy 73.44
[2024-07-17 22:02:21,079][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:67 
[2024-07-17 22:02:23,020][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 067 loss 0.6103 accuracy 67.19
[2024-07-17 22:02:24,222][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:68 
[2024-07-17 22:02:26,165][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 068 loss 0.6106 accuracy 71.88
[2024-07-17 22:02:26,165][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:69 
[2024-07-17 22:02:28,097][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 069 loss 0.6065 accuracy 67.19
[2024-07-17 22:02:28,097][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:70 
[2024-07-17 22:02:30,027][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 070 loss 0.5915 accuracy 76.56
[2024-07-17 22:02:30,027][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:71 
[2024-07-17 22:02:31,918][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 071 loss 0.5936 accuracy 68.75
[2024-07-17 22:02:35,840][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:72 
[2024-07-17 22:02:38,169][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 072 loss 0.5745 accuracy 68.75
[2024-07-17 22:02:38,172][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:73 
[2024-07-17 22:02:40,030][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 073 loss 0.5905 accuracy 68.75
[2024-07-17 22:02:40,031][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:74 
[2024-07-17 22:02:41,902][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 074 loss 0.5809 accuracy 71.88
[2024-07-17 22:02:42,919][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:75 
[2024-07-17 22:02:44,789][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 075 loss 0.5924 accuracy 59.38
[2024-07-17 22:02:44,790][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:76 
[2024-07-17 22:02:46,646][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 076 loss 0.4868 accuracy 76.56
[2024-07-17 22:02:52,122][src.cue_accumulation.train_cue_accumulation][INFO] - eval  epoch 076 loss 0.5485 accuracy 70.31
[2024-07-17 22:02:52,421][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:77 
[2024-07-17 22:02:54,281][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 077 loss 0.4737 accuracy 82.81
[2024-07-17 22:02:54,282][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:78 
[2024-07-17 22:02:56,158][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 078 loss 0.4571 accuracy 82.81
[2024-07-17 22:02:56,159][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:79 
[2024-07-17 22:02:58,019][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 079 loss 0.6810 accuracy 59.38
[2024-07-17 22:02:58,019][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:80 
[2024-07-17 22:02:59,875][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 080 loss 0.5359 accuracy 75.00
[2024-07-17 22:03:01,549][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:81 
[2024-07-17 22:03:03,744][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 081 loss 0.5589 accuracy 73.44
[2024-07-17 22:03:03,745][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:82 
[2024-07-17 22:03:05,673][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 082 loss 0.5195 accuracy 75.00
[2024-07-17 22:03:05,674][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:83 
[2024-07-17 22:03:07,602][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 083 loss 0.5178 accuracy 71.88
[2024-07-17 22:03:08,312][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:84 
